Time,Order Number (1),Order Number (2),Arrival Number
11:16:00,84.0,503.0,0.0
11:17:00,84.5,503.0,5.0
11:18:00,85.0,503.0,5.0
11:19:00,85.5,503.0,5.0
11:20:00,86.0,503.0,5.0
11:21:00,87.33333333333333,503.0,3.6666666666666665
11:22:00,88.66666666666667,503.0,3.6666666666666665
11:23:00,90.0,503.0,3.6666666666666665
11:24:00,91.66666666666667,503.0,5.666666666666667
11:25:00,93.33333333333333,503.0,5.666666666666667
11:26:00,95.0,503.0,5.666666666666667
11:27:00,97.5,503.5,7.5
11:28:00,100.0,504.0,7.5
11:29:00,101.66666666666667,504.0,3.6666666666666665
11:30:00,103.33333333333333,504.0,3.6666666666666665
11:31:00,105.0,504.0,3.6666666666666665
11:32:00,107.5,504.0,6.5
11:33:00,110.0,504.0,6.5
11:34:00,111.33333333333333,505.0,6.666666666666667
11:35:00,112.66666666666667,506.0,6.666666666666667
11:36:00,114.0,507.0,6.666666666666667
11:37:00,115.0,509.0,7.0
11:38:00,116.0,511.0,7.0
11:39:00,118.0,513.0,10.0
11:40:00,120.0,515.0,10.0
11:41:00,122.0,517.25,6.5
11:42:00,124.0,519.5,6.5
11:43:00,126.0,521.75,6.5
11:44:00,128.0,524.0,6.5
11:45:00,130.5,526.0,7.0
11:46:00,133.0,528.0,7.0
11:47:00,134.5,528.0,3.5
11:48:00,136.0,528.0,3.5
11:49:00,138.33333333333334,530.0,9.333333333333334
11:50:00,140.66666666666666,532.0,9.333333333333334
11:51:00,143.0,534.0,9.333333333333334
11:52:00,144.5,536.0,8.0
11:53:00,146.0,538.0,8.0
11:54:00,148.0,540.0,9.333333333333334
11:55:00,150.0,542.0,9.333333333333334
11:56:00,152.0,544.0,9.333333333333334
11:57:00,154.0,545.5,7.5
11:58:00,156.0,547.0,7.5
11:59:00,157.5,550.0,13.5
12:00:00,159.0,553.0,13.5
12:01:00,160.5,556.0,3.0
12:02:00,162.0,559.0,3.0
12:03:00,164.5,561.5,11.0
12:04:00,167.0,564.0,11.0
12:05:00,168.5,566.5,8.0
12:06:00,170.0,569.0,8.0
12:07:00,171.5,570.5,10.0
12:08:00,173.0,572.0,10.0
12:09:00,174.0,574.5,3.0
12:10:00,175.0,577.0,3.0
12:11:00,176.5,579.5,5.5
12:12:00,178.0,582.0,5.5
12:13:00,179.5,584.0,5.5
12:14:00,181.0,586.0,5.5
12:15:00,182.0,586.0,6.0
12:16:00,183.0,586.0,6.0
12:17:00,187.0,586.0,1.5
12:18:00,191.0,586.0,1.5
12:19:00,191.5,586.0,4.5
12:20:00,192.0,586.0,4.5
12:21:00,194.5,586.0,4.0
12:22:00,197.0,586.0,4.0
12:23:00,198.5,586.0,4.0
12:24:00,200.0,586.0,4.0
12:25:00,201.0,586.0,4.0
12:26:00,202.0,586.0,4.0
12:27:00,204.5,586.0,3.0
12:28:00,207.0,586.0,3.0
